"date","week","delta_netsnow_top30","gcr_greater_netsnow","ecr_greater_netsnow","delta_netgain_top30","gcr_greater_netgain","ecr_greater_netgain","min_missing_rank","not_in_top30","missing_ranks","missing_delta_ranks","min_missing_delta_ranks","max_missing_delta_ranks","delta_rank","gcr_greater_rank","ecr_greater_rank","prefixes_ecr_top30","prefixes_gcr_top30","prefixes_gcr_total","avg_missing"
"1998-12-25",58,2036,2036,0,1646,1634,12,15,10,227,300,21,42,452,407,45,7545,9581,56904,22
"1999-01-15",61,1988,1988,0,1469,1453,16,14,10,222,276,18,40,425,370,55,7459,9447,56990,22
"1999-01-22",62,2204,2204,0,1368,1359,9,15,11,243,284,17,39,424,379,45,7939,10143,57201,22
"1999-01-29",63,2241,2241,0,1386,1375,11,15,11,242,337,19,45,488,443,45,7919,10160,57544,22
"1999-02-05",64,1907,1907,0,1340,1328,12,14,13,285,394,17,49,546,498,48,6940,8847,57458,21
"1999-02-12",65,2010,1967,43,1304,1282,22,13,13,277,410,10,47,590,527,63,6711,8635,57725,21
"1999-02-19",66,1833,1833,0,1250,1235,15,13,13,279,459,15,53,633,583,50,6752,8585,58474,21
"1999-02-26",67,1769,1769,0,998,984,14,8,14,288,412,10,46,573,524,49,7318,9087,58277,20
"1999-03-05",68,1766,1766,0,985,979,6,8,14,282,398,13,47,551,504,47,7162,8928,58349,20
"1999-03-12",69,1987,1987,0,1231,1225,6,9,12,247,335,8,48,528,466,62,7328,9315,58783,20
"1999-03-19",70,1606,1606,0,1194,1177,17,8,14,280,408,12,49,564,521,43,6725,8331,59306,20
"1999-03-26",71,1611,1507,104,1194,1135,59,7,14,279,472,12,93,623,579,44,6875,8278,59759,19
"1999-04-02",72,1675,1675,0,1350,1339,11,7,14,271,440,13,50,592,542,50,6533,8208,60694,19
"1999-04-09",73,2377,2377,0,1594,1579,15,8,14,269,404,11,49,547,497,50,6691,9068,62555,19
"1999-04-16",74,1614,1614,0,1364,1344,20,10,13,266,404,10,50,575,522,53,6789,8403,60404,20
"1999-04-23",75,1608,1608,0,1290,1257,33,8,13,260,496,7,133,657,601,56,6756,8364,60847,20
"1999-04-30",76,1866,1866,0,1314,1268,46,9,13,269,435,9,78,605,548,57,6840,8706,60720,20
"1999-05-07",77,1864,1864,0,1361,1306,55,8,14,267,419,10,99,575,512,63,6852,8716,61271,19
"1999-05-14",78,2014,2014,0,1491,1431,60,8,12,216,460,10,117,647,571,76,6693,8707,61192,18
"1999-05-21",79,1895,1895,0,1349,1266,83,8,14,259,606,8,131,768,703,65,6603,8498,61366,18
"1999-05-28",80,2021,1976,45,1883,1823,60,8,13,222,487,13,114,651,583,68,7742,9673,64445,17
"1999-06-04",81,1920,1874,46,1750,1674,76,8,14,261,547,11,120,683,638,45,7668,9496,64576,18
"1999-06-11",82,1947,1901,46,1384,1328,56,7,15,279,583,11,123,728,666,62,6595,8450,63615,18
"1999-06-18",83,2008,1963,45,1348,1288,60,7,14,252,569,13,126,720,650,70,6576,8494,62498,18
"1999-06-25",84,2238,2116,122,1583,1473,110,7,14,244,1332,10,834,1497,1410,87,6576,8570,63384,17
"1999-07-02",85,1946,1946,0,1572,1467,105,7,13,230,502,15,103,697,605,92,6196,8142,63328,17
"1999-07-09",86,2118,2118,0,2015,1945,70,8,13,236,412,10,96,584,491,93,6904,9022,63909,18
