date,ge4,ge12,ge25,ge50,ge100,ge150,ge200,ge250,ge300
1997-11-14,0,0,0,0,0,0,0,0,0
1997-11-21,0,0,0,0,0,0,0,0,0
1997-11-28,0,0,0,0,0,0,0,0,0
1997-12-05,0,0,0,0,0,0,0,0,0
1997-12-12,52692,0,0,0,0,0,0,0,0
1997-12-19,54170,0,0,0,0,0,0,0,0
1997-12-26,57111,0,0,0,0,0,0,0,0
1998-01-02,59712,0,0,0,0,0,0,0,0
1998-01-09,60401,0,0,0,0,0,0,0,0
1998-01-16,61372,0,0,0,0,0,0,0,0
1998-01-23,62168,0,0,0,0,0,0,0,0
1998-01-30,62522,43170,0,0,0,0,0,0,0
1998-02-06,62990,45091,0,0,0,0,0,0,0
1998-02-13,63615,46773,0,0,0,0,0,0,0
1998-02-20,64622,49045,0,0,0,0,0,0,0
1998-02-27,65249,49580,0,0,0,0,0,0,0
1998-03-06,65687,50328,0,0,0,0,0,0,0
1998-03-13,66220,50816,0,0,0,0,0,0,0
1998-03-20,66844,51126,0,0,0,0,0,0,0
1998-03-27,67487,51503,0,0,0,0,0,0,0
1998-04-03,68324,52030,0,0,0,0,0,0,0
1998-04-10,68922,52468,0,0,0,0,0,0,0
1998-04-17,69619,53129,0,0,0,0,0,0,0
1998-04-24,70186,53546,36746,0,0,0,0,0,0
1998-05-01,70770,54037,38940,0,0,0,0,0,0
1998-05-08,71267,54655,40068,0,0,0,0,0,0
1998-05-15,71798,55176,41938,0,0,0,0,0,0
1998-05-29,72512,55725,42370,0,0,0,0,0,0
1998-06-05,73012,56247,42983,0,0,0,0,0,0
1998-06-12,73499,56689,43364,0,0,0,0,0,0
1998-06-19,73954,57182,43590,0,0,0,0,0,0
1998-06-26,74790,57678,43906,0,0,0,0,0,0
1998-07-03,75234,58089,44292,0,0,0,0,0,0
1998-07-10,75681,58481,44661,0,0,0,0,0,0
1998-07-17,76322,59133,45231,0,0,0,0,0,0
1998-07-24,76912,59618,45542,0,0,0,0,0,0
1998-07-31,77570,60031,45878,0,0,0,0,0,0
1998-08-07,77925,60423,46285,0,0,0,0,0,0
1998-08-14,78251,61128,46695,0,0,0,0,0,0
1998-08-21,78653,61521,47145,0,0,0,0,0,0
1998-08-28,79103,61878,47592,0,0,0,0,0,0
1998-09-04,79571,62354,47938,0,0,0,0,0,0
1998-09-11,80099,62814,48306,0,0,0,0,0,0
1998-09-18,80600,63206,48686,0,0,0,0,0,0
1998-09-25,81051,63532,49054,0,0,0,0,0,0
1998-10-02,81518,63849,49442,0,0,0,0,0,0
1998-10-09,81931,64220,49853,0,0,0,0,0,0
1998-10-16,82422,64597,50222,30663,0,0,0,0,0
1998-10-23,82813,64944,50602,33130,0,0,0,0,0
1998-10-30,83288,65404,50968,33753,0,0,0,0,0
1998-11-06,83815,65775,51523,34656,0,0,0,0,0
1998-11-13,84336,66264,51875,34981,0,0,0,0,0
1998-11-20,84857,66677,52185,35443,0,0,0,0,0
1998-11-27,85390,67071,52509,35784,0,0,0,0,0
1998-12-04,85818,67520,52919,35963,0,0,0,0,0
1998-12-11,86260,67881,53346,36210,0,0,0,0,0
1998-12-18,86772,68311,53662,36516,0,0,0,0,0
1998-12-25,87269,68713,53978,36756,0,0,0,0,0
1999-01-15,87772,69091,54307,37061,0,0,0,0,0
1999-01-22,88166,69555,54621,37311,0,0,0,0,0
1999-01-29,88697,69965,54914,37584,0,0,0,0,0
1999-02-05,89083,70309,55260,37900,0,0,0,0,0
1999-02-12,90055,70734,55570,38203,0,0,0,0,0
1999-02-19,90699,71214,55889,38557,0,0,0,0,0
1999-02-26,91264,71613,56236,38911,0,0,0,0,0
1999-03-05,91785,71994,56581,39192,0,0,0,0,0
1999-03-12,92242,72350,56996,39483,0,0,0,0,0
1999-03-19,93012,72779,57336,39763,0,0,0,0,0
1999-03-26,93502,73195,57709,40045,0,0,0,0,0
1999-04-02,94061,74062,58038,40349,0,0,0,0,0
