"date","gcr_netsnow","gcr_netgain","acr_netsnow","acr_netgain"
"1997-11-14",59607,17916,23272,12429
"1997-11-21",57011,16368,20441,11061
"1997-11-28",59324,18333,22790,12814
"1997-12-05",61658,19670,24288,13723
"1997-12-12",62126,19973,24495,14013
"1997-12-19",61422,19319,24077,13525
"1997-12-26",61958,19510,24320,13539
"1998-01-02",62021,19592,24258,13568
"1998-01-09",61897,19452,23980,13545
"1998-01-16",55672,13654,17267,7556
"1998-01-23",56603,14325,17196,8200
"1998-01-30",57712,15535,19683,9395
"1998-02-06",57164,14670,19192,8476
"1998-02-13",56896,14585,18369,8528
"1998-02-20",57485,15042,18823,8999
"1998-02-27",57944,14825,18337,8651
"1998-03-06",54901,13469,15663,7441
"1998-03-13",55702,14080,16252,8016
"1998-03-20",55093,13539,15392,7214
"1998-03-27",54659,12843,14713,6574
"1998-04-03",55019,13094,14442,6631
"1998-04-10",55152,13180,14370,6635
"1998-04-17",56496,13870,15246,7150
"1998-04-24",60994,17248,19329,10362
"1998-05-01",57734,13789,16076,7126
"1998-05-08",58233,14529,16628,7793
"1998-05-15",55526,12969,14663,6401
"1998-05-29",54913,12631,14370,6107
"1998-06-05",54282,12269,13457,5641
"1998-06-12",54896,12708,13953,5978
"1998-06-19",54499,12346,13166,5440
"1998-06-26",54745,12302,13185,5400
"1998-07-03",54435,12178,13390,5453
"1998-07-10",54522,12196,13018,5456
"1998-07-17",54757,12352,13436,5515
"1998-07-24",55145,12504,12807,5519
"1998-07-31",55274,12312,12790,5373
"1998-08-07",53953,11611,12076,5101
"1998-08-14",54120,11688,12538,5211
"1998-08-21",54762,11925,12734,5328
"1998-08-28",55479,12257,13259,5538
"1998-09-04",54998,11711,12232,5035
"1998-09-11",58152,14710,14877,7980
"1998-09-18",56963,13587,14246,7214
"1998-09-25",54266,10817,11317,4351
"1998-10-02",54385,10765,11172,4277
"1998-10-09",54827,11007,11264,4348
"1998-10-16",56852,12861,13459,6247
"1998-10-23",56557,12720,13311,6088
"1998-10-30",55364,11368,11722,4681
"1998-11-06",56778,12539,12981,5804
"1998-11-13",55723,11429,11698,4599
"1998-11-20",57093,12617,12277,5528
"1998-11-27",56294,11755,11970,4674
"1998-12-04",56527,11825,11541,4639
"1998-12-11",56371,11758,11617,4605
"1998-12-18",56735,11946,11740,4756
"1998-12-25",56877,12097,11755,4783
"1999-01-15",56960,11819,11032,4245
"1999-01-22",57174,11910,11134,4250
"1999-01-29",57519,12114,10989,4321
"1999-02-05",57433,11966,10853,4217
"1999-02-12",57699,11994,11187,4142
"1999-02-19",58444,12399,10809,4138
"1999-02-26",58247,11872,10816,3855
"1999-03-05",58318,11851,10615,3807
"1999-03-12",58745,12289,10594,4118
"1999-03-19",59268,12612,10792,4339
"1999-03-26",59720,12811,10927,4451
"1999-04-02",60646,13522,11531,5152
"1999-04-09",62488,13547,12808,4855
"1999-04-16",60341,12994,11113,4478
"1999-04-23",60796,12996,11210,4268
"1999-04-30",60673,12986,11283,4260
"1999-05-07",61212,13211,11042,4297
"1999-05-14",61146,13082,11534,4245
"1999-05-21",61310,13075,11263,4183
"1999-05-28",64387,15187,13716,6003
"1999-06-04",64535,15178,13685,5918
"1999-06-11",63580,13927,12186,4797
"1999-06-18",62462,13189,11103,4003
"1999-06-25",63351,13532,11585,4122
"1999-07-02",63292,13407,11711,4204
"1999-07-09",63873,13933,11738,4651
"1999-07-16",63605,13452,11164,4043
"1999-07-23",64477,13981,11231,4241
"1999-07-30",65366,14365,11903,4490
"1999-08-06",64742,14048,11582,4344
"1999-08-13",65586,14309,12004,4624
"1999-08-20",65861,14721,11919,4914
"1999-08-27",66112,15039,10538,4971
"1999-09-03",75154,23585,19043,13220
"1999-09-10",66894,15277,11017,5083
"1999-09-17",67521,15666,12511,5350
"1999-09-24",67448,15378,11938,4937
"1999-10-01",67774,14933,12385,4568
"1999-10-08",68166,15505,12891,4822
"1999-11-05",69802,16300,12874,4861
"2000-01-07",72965,17697,12214,5114
"2000-01-14",76117,20277,14743,7203
"2000-01-21",76474,20286,14248,6893
"2000-01-28",76691,20855,14726,7431
"2000-02-04",76460,20737,13419,7192
"2000-02-11",77267,21072,13563,7322
"2000-02-18",75926,19429,12393,5705
"2000-02-25",77546,19819,13797,5837
"2000-03-03",78248,20193,13902,5757
"2000-03-10",78839,20673,14072,6230
"2000-03-17",78787,20403,14145,6033
"2000-03-24",80449,21464,14503,6556
"2000-03-31",81077,21887,14743,6889
"2000-04-07",80728,21543,15099,6578
"2000-04-21",81373,21801,15234,6865
"2000-04-28",81409,21586,14852,6489
"2000-05-05",82604,23189,16595,7932
"2000-05-12",85429,25115,18731,9439
"2000-05-19",85541,24788,17924,9212
"2000-05-26",86367,25306,18880,9496
"2000-06-02",85089,23782,16694,7812
"2000-06-09",84306,22753,15735,6783
"2000-06-16",86248,23584,16650,7120
"2000-06-23",84521,23153,14840,6635
"2000-06-30",87419,24350,16320,7508
"2000-07-07",88304,24560,16921,7711
"2000-07-14",88451,24861,16442,7623
"2000-07-21",87738,24536,15403,7297
"2000-07-28",88779,25115,15097,7311
"2000-08-04",88240,25037,14590,7113
"2000-08-11",88644,25325,14576,7290
"2000-08-18",94561,26277,14677,7518
"2000-08-25",95236,26448,15599,7584
"2000-09-01",94479,26120,14566,7309
"2000-09-08",95601,26592,15093,7334
"2000-09-15",98150,28319,16885,8521
"2000-09-22",97945,27920,15934,7898
"2000-09-29",94551,28571,16024,8277
"2000-10-06",93695,27921,15667,8034
"2000-10-13",94125,28013,15087,7857
"2000-10-20",94437,28205,14981,7763
"2000-10-27",94822,28375,15184,7947
"2000-11-03",95834,29094,15824,8224
"2000-11-10",96551,29539,15699,8356
"2000-11-17",97652,29922,15734,8273
"2000-11-24",98160,29977,16508,8220
"2000-12-01",88268,27018,16234,8062
"2000-12-08",67466,20654,13305,7364
"2000-12-15",102302,32584,18525,10291
"2000-12-22",81260,25508,16641,8950
"2000-12-29",109042,43003,31975,22640
"2001-01-05",108034,42372,30128,21980
"2001-01-12",110551,43321,30754,21932
"2001-01-19",96642,38784,29146,21349
"2001-01-26",97987,39020,27506,20651
"2001-02-02",105277,41319,28151,20769
"2001-02-16",102832,40632,28470,21068
"2001-02-23",117903,45933,29822,21646
"2001-03-02",117992,45700,29786,21452
"2001-03-09",118468,45386,30334,21034
"2001-03-16",117305,44189,28685,20270
"2001-04-20",120615,45118,29876,20703
"2001-04-27",121340,45498,30482,20957
"2001-05-04",119637,40139,28378,15292
"2001-05-11",119091,39337,27025,14005
"2001-05-18",123828,42073,29366,16076
"2001-05-25",130397,44662,36541,18660
"2001-06-01",131722,45403,37230,19040
"2001-06-08",117561,38608,21993,12458
"2001-06-15",114214,35576,19556,9856
"2001-06-22",113826,35476,19315,9819
"2001-06-29",111149,33314,17424,8098
"2001-07-13",111057,33747,16543,7934
"2001-07-20",110734,33110,16919,7703
"2001-07-27",111890,34179,17078,8334
"2001-08-03",112585,34935,16624,8665
"2001-08-10",113975,36115,18583,9875
"2001-08-17",113919,35798,18021,9433
