date,ge4,ge12,ge25,ge50,ge100,ge150,ge200,ge250,ge300
2000-01-07,111307,87593,69145,47993,24211,0,0,0,0
2000-01-14,111967,88142,69502,48270,24663,0,0,0,0
2000-01-21,112764,88671,69897,48531,24894,0,0,0,0
2000-01-28,115503,89113,70268,48777,25185,0,0,0,0
2000-02-04,121387,89573,70628,49045,25415,0,0,0,0
2000-02-11,123758,90019,71114,49354,25550,0,0,0,0
2000-02-18,124610,90575,71522,49611,25772,0,0,0,0
2000-02-25,125424,91172,71875,50167,26050,0,0,0,0
2000-03-03,126941,91781,72242,50488,26220,0,0,0,0
2000-03-10,127963,92447,72602,50742,26409,0,0,0,0
2000-03-17,128982,94911,72952,51094,26599,0,0,0,0
2000-03-24,130118,99759,73378,51379,26800,0,0,0,0
2000-03-31,130961,100553,73829,51771,27066,0,0,0,0
2000-04-07,131805,101221,74264,52094,27276,0,0,0,0
2000-04-21,132803,101952,74724,52435,27456,0,0,0,0
2000-04-28,133867,102977,75084,52796,27731,0,0,0,0
2000-05-05,134784,103771,75524,53102,27976,0,0,0,0
2000-05-12,135734,104626,75964,53363,28193,0,0,0,0
2000-05-19,137475,105437,76485,53695,28402,0,0,0,0
2000-05-26,138368,106125,76963,54068,28615,0,0,0,0
2000-06-02,139234,106775,77498,54274,28809,0,0,0,0
2000-06-09,140112,107514,78112,54627,29050,0,0,0,0
2000-06-16,141215,108469,80256,54958,29288,0,0,0,0
2000-06-23,142171,109261,84163,55259,29517,0,0,0,0
2000-06-30,143173,110452,84818,55560,29743,0,0,0,0
2000-07-07,144274,111947,85374,55882,30048,0,0,0,0
2000-07-14,145054,112675,85958,56228,30220,0,0,0,0
2000-07-21,146196,113362,86727,56541,30427,0,0,0,0
2000-07-28,148068,114038,87407,56831,30603,0,0,0,0
2000-08-04,148817,114985,88022,57279,30782,0,0,0,0
2000-08-11,149929,115800,88722,57623,31208,0,0,0,0
2000-08-18,150937,116638,89275,57928,31410,0,0,0,0
2000-08-25,151976,117591,89820,58298,31635,0,0,0,0
2000-09-01,152876,118277,90592,58617,31875,0,0,0,0
2000-09-08,154167,119187,91427,58908,32084,0,0,0,0
2000-09-15,159432,120255,92108,59277,32287,0,0,0,0
2000-09-22,160429,121036,93225,59650,32552,0,0,0,0
2000-09-29,161356,121928,94498,60055,32774,0,0,0,0
