"acr_count","acr_date","gcr_count","gcr_date"
378,"2010-05-14",68772,"2010-05-14"
379,"2010-05-21",68894,"2010-05-21"
379,"2010-05-28",69030,"2010-05-28"
379,"2010-06-04",69082,"2010-06-04"
379,"2010-06-11",69246,"2010-06-11"
379,"2010-06-18",69326,"2010-06-18"
379,"2010-06-25",69386,"2010-06-25"
379,"2010-07-02",69486,"2010-07-02"
379,"2010-07-09",69550,"2010-07-09"
380,"2010-07-16",69706,"2010-07-16"
380,"2010-07-23",69810,"2010-07-23"
380,"2010-07-30",70044,"2010-07-30"
381,"2010-08-06",70284,"2010-08-06"
381,"2010-08-13",70456,"2010-08-13"
382,"2010-08-20",70668,"2010-08-20"
382,"2010-08-27",70866,"2010-08-27"
382,"2010-09-03",71072,"2010-09-03"
382,"2010-09-10",71220,"2010-09-10"
382,"2010-09-17",70826,"2010-09-17"
382,"2010-09-24",70932,"2010-09-24"
382,"2010-10-01",71014,"2010-10-01"
383,"2010-10-08",71164,"2010-10-08"
383,"2010-10-15",71240,"2010-10-15"
383,"2010-10-22",71420,"2010-10-22"
384,"2010-10-29",71542,"2010-10-29"
384,"2010-11-05",71596,"2010-11-05"
384,"2010-11-12",71782,"2010-11-12"
384,"2010-11-19",71930,"2010-11-19"
385,"2010-11-26",72074,"2010-11-26"
385,"2010-12-03",72222,"2010-12-03"
385,"2010-12-10",72384,"2010-12-10"
385,"2010-12-17",72450,"2010-12-17"
385,"2010-12-24",72642,"2010-12-24"
385,"2010-12-31",72698,"2010-12-31"
385,"2011-01-07",72768,"2011-01-07"
385,"2011-01-14",72836,"2011-01-14"
385,"2011-01-21",72952,"2011-01-21"
385,"2011-01-28",73036,"2011-01-28"
