"asn_count","on_or_before_date"
312,"2003-06-06"
312,"2003-06-13"
313,"2003-06-20"
315,"2003-06-27"
316,"2003-07-04"
316,"2003-07-11"
317,"2003-07-18"
317,"2003-07-25"
317,"2003-08-01"
318,"2003-08-08"
318,"2003-08-15"
319,"2003-08-22"
320,"2003-08-29"
320,"2003-09-05"
321,"2003-09-12"
321,"2003-09-19"
322,"2003-09-26"
322,"2003-10-03"
322,"2003-10-10"
323,"2003-10-17"
324,"2003-10-24"
325,"2003-10-31"
325,"2003-11-07"
326,"2003-11-14"
326,"2003-11-21"
327,"2003-11-28"
327,"2003-12-05"
327,"2003-12-12"
327,"2003-12-19"
327,"2003-12-26"
327,"2004-01-02"
327,"2004-01-09"
327,"2004-01-16"
327,"2004-01-23"
327,"2004-01-30"
328,"2004-02-06"
328,"2004-02-13"
328,"2004-02-20"
328,"2004-02-27"
328,"2004-03-05"
328,"2004-03-12"
329,"2004-03-19"
329,"2004-03-26"
329,"2004-04-02"
329,"2004-04-09"
329,"2004-04-16"
330,"2004-04-23"
330,"2004-04-30"
330,"2004-05-07"
330,"2004-05-14"
330,"2004-05-21"
330,"2004-05-28"
330,"2004-06-04"
330,"2004-06-11"
331,"2004-06-18"
331,"2004-06-25"
331,"2004-07-02"
331,"2004-07-09"
332,"2004-07-16"
332,"2004-07-23"
332,"2004-07-30"
332,"2004-08-06"
332,"2004-08-13"
332,"2004-08-20"
332,"2004-08-27"
332,"2004-09-03"
333,"2004-09-10"
333,"2004-09-17"
334,"2004-09-24"
334,"2004-10-01"
334,"2004-10-08"
334,"2004-10-15"
334,"2004-10-22"
334,"2004-10-29"
334,"2004-11-05"
334,"2004-11-12"
334,"2004-11-19"
334,"2004-11-26"
334,"2004-12-03"
334,"2004-12-10"
334,"2004-12-17"
334,"2004-12-24"
334,"2005-01-07"
334,"2005-01-14"
334,"2005-01-21"
336,"2005-01-28"
336,"2005-02-04"
337,"2005-02-11"
337,"2005-02-18"
338,"2005-02-25"
339,"2005-03-04"
339,"2005-03-11"
339,"2005-03-18"
339,"2005-03-25"
339,"2005-04-08"
339,"2005-04-15"
339,"2005-04-22"
339,"2005-04-29"
341,"2005-05-06"
341,"2005-05-13"
341,"2005-05-20"
341,"2005-05-27"
341,"2005-06-03"
341,"2005-06-24"
341,"2005-07-01"
341,"2005-07-08"
341,"2005-07-15"
341,"2005-07-22"
342,"2005-07-29"
342,"2005-08-05"
343,"2005-08-12"
343,"2005-08-19"
343,"2005-08-26"
343,"2005-09-02"
343,"2005-09-09"
344,"2005-09-16"
344,"2005-09-23"
345,"2005-09-30"
345,"2005-10-07"
345,"2005-10-14"
345,"2005-10-21"
345,"2005-10-28"
345,"2005-11-04"
345,"2005-11-11"
345,"2005-11-18"
345,"2005-12-02"
345,"2005-12-09"
346,"2005-12-16"
346,"2005-12-23"
346,"2005-12-30"
346,"2006-01-06"
346,"2006-01-13"
346,"2006-01-20"
347,"2006-01-27"
347,"2006-02-03"
347,"2006-02-10"
347,"2006-02-17"
347,"2006-02-24"
347,"2006-03-03"
347,"2006-03-10"
347,"2006-03-17"
347,"2006-03-24"
347,"2006-03-31"
347,"2006-04-07"
347,"2006-04-14"
347,"2006-04-21"
347,"2006-04-28"
347,"2006-05-05"
347,"2006-05-12"
347,"2006-05-19"
347,"2006-05-26"
347,"2006-06-02"
347,"2006-06-09"
347,"2006-06-16"
347,"2006-06-23"
347,"2006-06-30"
347,"2006-07-07"
347,"2006-07-14"
348,"2006-07-21"
349,"2006-08-04"
349,"2006-08-11"
349,"2006-08-18"
349,"2006-08-25"
349,"2006-09-01"
349,"2006-09-08"
349,"2006-09-15"
350,"2006-09-22"
350,"2006-09-29"
350,"2006-10-06"
351,"2006-10-13"
351,"2006-10-20"
351,"2006-10-27"
351,"2006-11-03"
352,"2006-12-08"
352,"2006-12-15"
352,"2006-12-22"
352,"2006-12-29"
352,"2007-01-05"
352,"2007-01-12"
353,"2007-01-19"
353,"2007-01-26"
353,"2007-02-02"
353,"2007-02-09"
353,"2007-02-16"
354,"2007-02-23"
354,"2007-03-02"
354,"2007-03-09"
354,"2007-03-16"
354,"2007-03-23"
354,"2007-03-30"
354,"2007-04-06"
354,"2007-04-13"
354,"2007-04-20"
354,"2007-04-27"
354,"2007-05-04"
